Point ID,arc_length,div(phi),magR,momentError_0,momentError_1,momentError_2,momentError_Magnitude,nut,nuTilda,p,Points_0,Points_1,Points_2,Points_Magnitude,turbulenceProperties:devReff_0,turbulenceProperties:devReff_1,turbulenceProperties:devReff_2,turbulenceProperties:devReff_3,turbulenceProperties:devReff_4,turbulenceProperties:devReff_5,turbulenceProperties:devReff_Magnitude,turbulenceProperties:epsilon,turbulenceProperties:I,turbulenceProperties:k,turbulenceProperties:L,turbulenceProperties:nuEff,turbulenceProperties:nut,turbulenceProperties:R_0,turbulenceProperties:R_1,turbulenceProperties:R_2,turbulenceProperties:R_3,turbulenceProperties:R_4,turbulenceProperties:R_5,turbulenceProperties:R_Magnitude,U_0,U_1,U_2,U_Magnitude,vtkValidPointMask
332,0.04648,-0.000114218,1.46157e-05,-3.51941e-06,6.164e-05,-0.000160787,0.000172233,3.88344e-06,3.53294e-05,-0.160007,0,-0.02352,1,1.00028,1.54857e-06,1.52332e-06,-3.07188e-06,-1.02671e-09,1.55789e-06,-9.43051e-09,4.07212e-06,1.20944e-07,0.00253003,1.26129e-05,0.0608724,1.38834e-05,3.88344e-06,8.8418e-06,8.83464e-06,7.54935e-06,-3.02427e-10,4.30522e-07,-2.65045e-09,1.46084e-05,-2.11891e-06,0.00129463,1.14612,1.14612,1
333,0.04662,-0.000114434,1.46105e-05,-3.78585e-06,6.08621e-05,-0.000160774,0.00017195,3.89195e-06,3.535e-05,-0.160007,0,-0.02338,1,1.00027,1.54944e-06,1.52429e-06,-3.07372e-06,-1.04645e-09,1.54875e-06,-9.41623e-09,4.07071e-06,1.20862e-07,0.0025296,1.26083e-05,0.0608814,1.38919e-05,3.89195e-06,8.83968e-06,8.83255e-06,7.54444e-06,-3.08549e-10,4.28471e-07,-2.65017e-09,1.46033e-05,-2.10865e-06,0.00128701,1.1461,1.1461,1
334,0.04676,-0.000114651,1.46054e-05,-4.05229e-06,6.00842e-05,-0.000160761,0.00017167,3.90046e-06,3.53705e-05,-0.160007,0,-0.02324,1,1.00027,1.55031e-06,1.52526e-06,-3.07556e-06,-1.06619e-09,1.53961e-06,-9.40195e-09,4.06933e-06,1.20779e-07,0.00252917,1.26038e-05,0.0608904,1.39005e-05,3.90046e-06,8.83756e-06,8.83045e-06,7.53953e-06,-3.14672e-10,4.2642e-07,-2.64989e-09,1.45981e-05,-2.0984e-06,0.0012794,1.14609,1.14609,1
335,0.0469,-0.000114867,1.46002e-05,-4.31873e-06,5.93063e-05,-0.000160748,0.000171393,3.90896e-06,3.53911e-05,-0.160007,0,-0.0231,1,1.00027,1.55118e-06,1.52623e-06,-3.0774e-06,-1.08592e-09,1.53046e-06,-9.38767e-09,4.06797e-06,1.20696e-07,0.00252874,1.25992e-05,0.0608994,1.3909e-05,3.90896e-06,8.83544e-06,8.82835e-06,7.53461e-06,-3.20794e-10,4.24369e-07,-2.64962e-09,1.4593e-05,-2.08814e-06,0.00127178,1.14608,1.14608,1
336,0.04704,-0.000115083,1.4595e-05,-4.58517e-06,5.85284e-05,-0.000160735,0.000171121,3.91747e-06,3.54117e-05,-0.160007,0,-0.02296,1,1.00026,1.55205e-06,1.5272e-06,-3.07924e-06,-1.10566e-09,1.52132e-06,-9.37339e-09,4.06662e-06,1.20614e-07,0.00252831,1.25947e-05,0.0609084,1.39175e-05,3.91747e-06,8.83332e-06,8.82626e-06,7.5297e-06,-3.26917e-10,4.22318e-07,-2.64934e-09,1.45878e-05,-2.07789e-06,0.00126417,1.14606,1.14606,1
337,0.04718,-0.000115299,1.45898e-05,-4.8516e-06,5.77505e-05,-0.000160722,0.000170851,3.92598e-06,3.54323e-05,-0.160007,0,-0.02282,1,1.00026,1.55292e-06,1.52817e-06,-3.08108e-06,-1.1254e-09,1.51217e-06,-9.35911e-09,4.0653e-06,1.20531e-07,0.00252788,1.25901e-05,0.0609174,1.3926e-05,3.92598e-06,8.8312e-06,8.82416e-06,7.52479e-06,-3.3304e-10,4.20268e-07,-2.64906e-09,1.45827e-05,-2.06763e-06,0.00125655,1.14605,1.14605,1
338,0.04732,-0.000115516,1.45846e-05,-5.11804e-06,5.69726e-05,-0.000160709,0.000170585,3.93448e-06,3.54529e-05,-0.160007,0,-0.02268,1,1.00026,1.55379e-06,1.52914e-06,-3.08293e-06,-1.14514e-09,1.50303e-06,-9.34483e-09,4.06401e-06,1.20448e-07,0.00252745,1.25855e-05,0.0609264,1.39345e-05,3.93448e-06,8.82908e-06,8.82207e-06,7.51987e-06,-3.39162e-10,4.18217e-07,-2.64878e-09,1.45775e-05,-2.05738e-06,0.00124893,1.14604,1.14604,1
339,0.04746,-0.000115732,1.45794e-05,-5.38448e-06,5.61947e-05,-0.000160696,0.000170323,3.94299e-06,3.54734e-05,-0.160007,0,-0.02254,1,1.00025,1.55466e-06,1.53011e-06,-3.08477e-06,-1.16488e-09,1.49388e-06,-9.33055e-09,4.06273e-06,1.20366e-07,0.00252702,1.2581e-05,0.0609354,1.3943e-05,3.94299e-06,8.82696e-06,8.81997e-06,7.51496e-06,-3.45285e-10,4.16166e-07,-2.64851e-09,1.45724e-05,-2.04712e-06,0.00124132,1.14602,1.14602,1
340,0.0476,-0.000115948,1.45743e-05,-5.65092e-06,5.54168e-05,-0.000160683,0.000170064,3.95149e-06,3.5494e-05,-0.160007,0,-0.0224,1,1.00025,1.55554e-06,1.53108e-06,-3.08661e-06,-1.18462e-09,1.48474e-06,-9.31627e-09,4.06147e-06,1.20283e-07,0.00252658,1.25764e-05,0.0609444,1.39515e-05,3.95149e-06,8.82484e-06,8.81787e-06,7.51005e-06,-3.51407e-10,4.14115e-07,-2.64823e-09,1.45673e-05,-2.03687e-06,0.0012337,1.14601,1.14601,1
341,0.04774,-0.000116164,1.45691e-05,-5.91735e-06,5.46389e-05,-0.00016067,0.000169809,3.96e-06,3.55146e-05,-0.160007,0,-0.02226,1,1.00025,1.55641e-06,1.53205e-06,-3.08845e-06,-1.20435e-09,1.47559e-06,-9.30199e-09,4.06024e-06,1.202e-07,0.00252615,1.25718e-05,0.0609534,1.396e-05,3.96e-06,8.82272e-06,8.81578e-06,7.50513e-06,-3.5753e-10,4.12064e-07,-2.64795e-09,1.45621e-05,-2.02661e-06,0.00122609,1.146,1.146,1
