Point ID,arc_length,div(phi),magR,momentError_0,momentError_1,momentError_2,momentError_Magnitude,nu,nut,nuTilda,p,Points_0,Points_1,Points_2,Points_Magnitude,turbulenceProperties:devReff_0,turbulenceProperties:devReff_1,turbulenceProperties:devReff_2,turbulenceProperties:devReff_3,turbulenceProperties:devReff_4,turbulenceProperties:devReff_5,turbulenceProperties:devReff_Magnitude,turbulenceProperties:epsilon,turbulenceProperties:I,turbulenceProperties:k,turbulenceProperties:L,turbulenceProperties:nuEff,turbulenceProperties:nut,turbulenceProperties:R_0,turbulenceProperties:R_1,turbulenceProperties:R_2,turbulenceProperties:R_3,turbulenceProperties:R_4,turbulenceProperties:R_5,turbulenceProperties:R_Magnitude,U_0,U_1,U_2,U_Magnitude,vtkValidPointMask
21,0.00294,-3.9253e-09,4.05117e-09,-1.52497e-06,-4.77171e-08,-7.10819e-06,7.27009e-06,0.0054696,4.84553e-11,0,9.16457,0,-0.06706,1,1.00225,-4.62474e-09,-3.50487e-08,3.96734e-08,1.98121e-07,-0.30458,1.14739e-08,0.30458,0,0,0,0,0.0054696,4.84553e-11,-5.43701e-17,-8.58287e-17,1.40198e-16,1.55104e-15,-2.85562e-09,0,2.85562e-09,-9.77231e-08,5.18719e-09,0.166836,0.166836,1
22,0.00308,-4.10956e-09,0,-1.57748e-06,2.73501e-08,-7.34708e-06,7.51457e-06,0.00547186,0,0,9.16457,0,-0.06692,1,1.00224,-4.74169e-09,-3.64904e-08,4.12321e-08,1.99264e-07,-0.303875,1.21693e-08,0.303875,0,0,0,0,0.00547186,0,0,0,0,0,0,0,0,-1.02646e-07,5.66688e-09,0.174535,0.174535,1
23,0.00322,-4.31697e-09,0,-1.6465e-06,3.85193e-08,-7.66634e-06,7.84125e-06,0.00547413,0,0,9.16457,0,-0.06678,1,1.00223,-4.99849e-09,-3.81048e-08,4.31032e-08,2.00387e-07,-0.303177,1.39078e-08,0.303177,0,0,0,0,0.00547413,0,0,0,0,0,0,0,0,-1.07772e-07,6.32102e-09,0.18205,0.18205,1
24,0.00336,-4.52439e-09,0,-1.71552e-06,4.9689e-08,-7.98562e-06,8.16796e-06,0.00547641,0,0,9.16457,0,-0.06664,1,1.00222,-5.25531e-09,-3.97192e-08,4.49745e-08,2.01511e-07,-0.302479,1.56463e-08,0.302479,0,0,0,0,0.00547641,0,0,0,0,0,0,0,0,-1.12897e-07,6.9752e-09,0.189564,0.189564,1
25,0.0035,-4.7318e-09,0,-1.78454e-06,6.08582e-08,-8.30489e-06,8.49467e-06,0.00547869,0,0,9.16457,0,-0.0665,1,1.00221,-5.51211e-09,-4.13335e-08,4.68456e-08,2.02635e-07,-0.301781,1.73847e-08,0.301781,0,0,0,0,0.00547869,0,0,0,0,0,0,0,0,-1.18022e-07,7.62935e-09,0.197079,0.197079,1
26,0.00364,-4.93922e-09,0,-1.85357e-06,7.2028e-08,-8.62417e-06,8.8214e-06,0.00548097,0,0,9.16457,0,-0.06636,1,1.0022,-5.76892e-09,-4.29479e-08,4.87168e-08,2.03759e-07,-0.301083,1.91232e-08,0.301083,0,0,0,0,0.00548097,0,0,0,0,0,0,0,0,-1.23148e-07,8.28353e-09,0.204594,0.204594,1
27,0.00378,-5.14663e-09,0,-1.92259e-06,8.31972e-08,-8.94343e-06,9.14813e-06,0.00548324,0,0,9.16457,0,-0.06622,1,1.00219,-6.02572e-09,-4.45622e-08,5.05879e-08,2.04883e-07,-0.300385,2.08616e-08,0.300385,0,0,0,0,0.00548324,0,0,0,0,0,0,0,0,-1.28273e-07,8.93768e-09,0.212108,0.212108,1
28,0.00392,-5.35404e-09,0,-1.99161e-06,9.43663e-08,-9.26269e-06,9.47486e-06,0.00548552,0,0,9.16457,0,-0.06608,1,1.00218,-6.28252e-09,-4.61765e-08,5.2459e-08,2.06007e-07,-0.299687,2.26001e-08,0.299687,0,0,0,0,0.00548552,0,0,0,0,0,0,0,0,-1.33398e-07,9.59182e-09,0.219622,0.219622,1
29,0.00406,-5.56146e-09,0,-2.06063e-06,1.05536e-07,-9.58197e-06,9.80161e-06,0.0054878,0,0,9.16457,0,-0.06594,1,1.00217,-6.53934e-09,-4.77909e-08,5.43303e-08,2.07131e-07,-0.298989,2.43386e-08,0.298989,0,0,0,0,0.0054878,0,0,0,0,0,0,0,0,-1.38524e-07,1.0246e-08,0.227137,0.227137,1
30,0.0042,-5.76887e-09,0,-2.12965e-06,1.16705e-07,-9.90124e-06,1.01284e-05,0.00549008,0,0,9.16457,0,-0.0658,1,1.00216,-6.79614e-09,-4.94053e-08,5.62014e-08,2.08255e-07,-0.298291,2.6077e-08,0.298291,0,0,0,0,0.00549008,0,0,0,0,0,0,0,0,-1.43649e-07,1.09001e-08,0.234652,0.234652,1
